InvoiceNo,InvoiceDate,CustomerID,Quantity,price_total,StockCode
536365,2010-12-01,17850,40,139.12,7
536366,2010-12-01,17850,12,22.2,2
536367,2010-12-01,13047,83,278.73,12
536368,2010-12-01,13047,15,70.05,4
536369,2010-12-01,13047,3,17.85,1
536370,2010-12-01,12583,449,855.86,20
536371,2010-12-01,13748,80,204.0,1
536372,2010-12-01,17850,12,22.2,2
536373,2010-12-01,17850,88,259.86,16
536374,2010-12-01,15100,32,350.4,1
536375,2010-12-01,17850,88,259.86,16
536376,2010-12-01,15291,112,328.8,2
536377,2010-12-01,17850,12,22.2,2
536378,2010-12-01,14688,454,444.98,19
536380,2010-12-01,17809,24,34.8,1
536381,2010-12-01,15311,198,449.98,35
536382,2010-12-01,16098,134,430.6,12
536384,2010-12-01,18074,190,489.6,13
536385,2010-12-01,17420,53,130.85,7
536386,2010-12-01,16029,236,508.2,3
536387,2010-12-01,16029,1440,3193.92,5
536388,2010-12-01,16250,108,226.14,14
536389,2010-12-01,12431,107,358.25,14
536390,2010-12-01,17511,1568,1825.74,24
536392,2010-12-01,13705,103,318.14,10
536393,2010-12-01,13747,8,79.6,1
536394,2010-12-01,13408,544,1024.68,11
536395,2010-12-01,13767,260,507.88,14
536396,2010-12-01,17850,102,376.36,18
536397,2010-12-01,17924,60,279.0,2
536398,2010-12-01,13448,150,426.56,17
536399,2010-12-01,17850,12,22.2,2
536400,2010-12-01,13448,12,17.4,1
536401,2010-12-01,15862,124,354.23,64
536402,2010-12-01,15513,116,357.0,3
536403,2010-12-01,12791,97,192.6,2
536404,2010-12-01,16218,438,471.3,28
536405,2010-12-01,14045,128,326.4,1
536406,2010-12-01,17850,96,353.14,17
536407,2010-12-01,17850,12,22.2,2
536408,2010-12-01,14307,558,783.11,48
536409,2010-12-01,17908,173,243.28,58
536412,2010-12-01,17920,220,514.41,81
536415,2010-12-01,12838,228,390.79,59
536416,2010-12-01,13255,110,225.7,6
536420,2010-12-01,16583,111,233.45,14
536423,2010-12-01,18085,78,303.9,9
536425,2010-12-01,13758,137,362.45,17
536437,2010-12-01,13694,1004,842.12,6
536446,2010-12-01,15983,329,440.89,32
536460,2010-12-01,14849,158,295.54,14
536463,2010-12-01,14849,12,17.4,1
536464,2010-12-01,17968,160,277.35,85
536466,2010-12-01,14849,18,42.9,2
536477,2010-12-01,16210,1070,2474.74,14
536488,2010-12-01,17897,72,165.89,35
536500,2010-12-01,17377,102,223.9,15
536502,2010-12-01,16552,39,95.29,5
